ops_fid,flight_id,aid,sch_date,sch_st_dep,sch_st_arr,epoch_sch_dep,epoch_sch_arr,prev_ops_fid,next_ops_fid,gmt_offset_dep,gmt_offset_arr,epoch_est_dep,epoch_est_arr,turn,ops_mst_calc,sch_mst_calc,total_seat,prev_turn_time,is_mx,total_pax,J_pax,O_pax,Y_pax,num_connx_pax,delay_penalty,cancel_penalty,swap_options,prev_station,prev_aid
UA_1245_2025-09-20_SFO_BOI_0_0,1245SFO2025-09-20,4898,2025-09-20,SFO,BOI,1758391560,1758397740,UA_488_2025-09-20_BUR_SFO_0_0,UA_324_2025-09-20_BOI_SFO_0_0,-7,-6,1758391560,1758397740,2880,2580,2580,126,2580,false,119,9,0,110,0,119,2570400,"[UA_2380_2025-09-20_SFO_DTW_0_0, UA_499_2025-09-20_SFO_BNA_0_0, UA_1417_2025-09-20_SFO_SEA_0_0, UA_1517_2025-09-20_SFO_DFW_0_0]",SFO,4898
UA_324_2025-09-20_BOI_SFO_0_0,324BOI2025-09-20,4898,2025-09-20,BOI,SFO,1758401100,1758407700,UA_1245_2025-09-20_SFO_BOI_0_0,UA_1174_2025-09-20_SFO_OMA_0_0,-6,-7,1758401100,1758407700,2520,2580,2580,126,2580,false,118,8,0,110,54,118,2548800,[UA_573_2025-09-20_BOI_ORD_0_0],BOI,4898
UA_1174_2025-09-20_SFO_OMA_0_0,1174SFO2025-09-20,4898,2025-09-20,SFO,OMA,1758412500,1758424380,UA_324_2025-09-20_BOI_SFO_0_0,MX_4898_2025-09-20_OMA_OMA_false,-7,-5,1758412500,1758424380,2880,2580,2580,126,2580,false,63,9,0,54,0,63,1360800,[UA_2339_2025-09-20_SFO_SEA_0_0],SFO,4898
MX_4898_2025-09-20_OMA_OMA_false,MX_4898_2025-09-20_OMA_OMA_false,4898,2025-09-20,OMA,OMA,1758424380,1758435180,UA_1174_2025-09-20_SFO_OMA_0_0,UA_2027_2025-09-21_OMA_SFO_0_0,,,1758424380,1758435180,5100,5100,5100,,0,true,,,,,,,,,OMA,4898
UA_2027_2025-09-21_OMA_SFO_0_0,2027OMA2025-09-21,4898,2025-09-21,OMA,SFO,1758457800,1758471120,MX_4898_2025-09-20_OMA_OMA_false,UA_336_2025-09-21_SFO_STL_0_0,-5,-7,1758457800,1758471120,5100,2580,2580,126,2580,false,127,12,0,115,64,127,2743200,,OMA,4898
UA_336_2025-09-21_SFO_STL_0_0,336SFO2025-09-21,4898,2025-09-21,SFO,STL,1758477060,1758491580,UA_2027_2025-09-21_OMA_SFO_0_0,UA_1603_2025-09-21_STL_SFO_0_0,-7,-5,1758477060,1758491580,2880,2580,2580,126,2580,false,116,12,0,104,0,116,2505600,"[UA_255_2025-09-21_SFO_AUS_0_0, UA_2448_2025-09-21_SFO_JAC_0_0, UA_1957_2025-09-21_SFO_ABQ_0_0]",SFO,4898
UA_1603_2025-09-21_STL_SFO_0_0,1603STL2025-09-21,4898,2025-09-21,STL,SFO,1758494940,1758510600,UA_336_2025-09-21_SFO_STL_0_0,MX_4898_2025-09-21_SFO_SFO_false,-5,-7,1758494940,1758510600,2520,2580,2580,126,2580,false,121,12,0,109,21,121,2613600,,STL,4898
MX_4898_2025-09-21_SFO_SFO_false,MX_4898_2025-09-21_SFO_SFO_false,4898,2025-09-21,SFO,SFO,1758510600,1758546600,UA_1603_2025-09-21_STL_SFO_0_0,,,,1758510600,1758546600,5100,5100,5100,,0,true,,,,,,,,,SFO,4898
UA_1363_2025-09-19_DSM_ORD_0_0,1363DSM2025-09-19,4899,2025-09-19,DSM,ORD,1758286800,1758292440,,UA_1297_2025-09-19_ORD_MSP_0_0,-5,-5,1758286800,1758292440,5100,2580,2580,126,2580,false,118,11,0,107,100,118,2548800,,,0000
UA_1297_2025-09-19_ORD_MSP_0_0,1297ORD2025-09-19,4899,2025-09-19,ORD,MSP,1758296100,1758301860,UA_1363_2025-09-19_DSM_ORD_0_0,UA_2180_2025-09-19_MSP_ORD_0_0,-5,-5,1758296100,1758301860,2880,2580,2580,126,2580,false,126,9,0,117,1,126,2721600,"[UA_442_2025-09-19_ORD_ORF_0_0, UA_1139_2025-09-19_ORD_DSM_0_0]",ORD,4899
UA_2180_2025-09-19_MSP_ORD_0_0,2180MSP2025-09-19,4899,2025-09-19,MSP,ORD,1758305400,1758311640,UA_1297_2025-09-19_ORD_MSP_0_0,UA_2091_2025-09-19_ORD_DSM_0_0,-5,-5,1758305400,1758311640,2520,2580,2580,126,2580,false,120,12,0,108,44,120,2592000,[UA_1214_2025-09-19_MSP_SFO_0_0],MSP,4899
UA_2091_2025-09-19_ORD_DSM_0_0,2091ORD2025-09-19,4899,2025-09-19,ORD,DSM,1758315000,1758320040,UA_2180_2025-09-19_MSP_ORD_0_0,UA_657_2025-09-19_DSM_ORD_0_0,-5,-5,1758315000,1758320040,2880,2580,2580,126,2580,false,110,8,0,102,0,110,2376000,"[UA_1941_2025-09-19_ORD_CVG_0_0, UA_2329_2025-09-19_ORD_DTW_0_0]",ORD,4899
UA_657_2025-09-19_DSM_ORD_0_0,657DSM2025-09-19,4899,2025-09-19,DSM,ORD,1758324300,1758329940,UA_2091_2025-09-19_ORD_DSM_0_0,MX_4899_2025-09-19_ORD_ORD_false,-5,-5,1758324300,1758329940,2520,2580,2580,126,2580,false,74,10,0,64,37,74,1598400,,DSM,4899
MX_4899_2025-09-19_ORD_ORD_false,MX_4899_2025-09-19_ORD_ORD_false,4899,2025-09-19,ORD,ORD,1758329940,1758365940,UA_657_2025-09-19_DSM_ORD_0_0,UA_623_2025-09-20_ORD_ALB_0_0,,,1758329940,1758365940,5100,5100,5100,,0,true,,,,,,,,,ORD,4899
UA_623_2025-09-20_ORD_ALB_0_0,623ORD2025-09-20,4899,2025-09-20,ORD,ALB,1758394500,1758402120,MX_4899_2025-09-19_ORD_ORD_false,UA_249_2025-09-20_ALB_ORD_0_0,-5,-4,1758394500,1758402120,5100,2580,2580,126,2580,false,121,12,0,109,0,121,2613600,"[UA_1478_2025-09-20_ORD_YEG_0_0, UA_1307_2025-09-20_ORD_MDT_0_0, UA_1525_2025-09-20_ORD_AUS_0_0]",ORD,4899
UA_249_2025-09-20_ALB_ORD_0_0,249ALB2025-09-20,4899,2025-09-20,ALB,ORD,1758405480,1758414420,UA_623_2025-09-20_ORD_ALB_0_0,MX_4899_2025-09-20_ORD_ORD_false,-4,-5,1758405480,1758414420,2520,2580,2580,126,2580,false,33,2,0,31,16,33,712800,,ALB,4899
MX_4899_2025-09-20_ORD_ORD_false,MX_4899_2025-09-20_ORD_ORD_false,4899,2025-09-20,ORD,ORD,1758412800,1758585600,UA_249_2025-09-20_ALB_ORD_0_0,UA_473_2025-09-21_ORD_DTW_0_0,,,1758412800,1758585600,5100,5100,5100,,0,true,,,,,,,,,ORD,4899
